"E_div_numb","Elect_div","Numccds","Actual","Projected","Total_Popu","Australian","Area_SqKm","Sortname","DIV_NUMBER","ELECT_DIV","NUMCCDS","ACTUAL","PROJECTED","POPULATION","OVER_18","AREA_SQKM","SORTNAME","GEODB_OID","OBJECTID","MAP_SYMBOL","MAP_TYPE","LENGTH","SHAPE_AREA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Blair",233,0,0,0,0,6409.2711298741,"BLAIR",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Bonner",216,0,0,0,0,360.06063912784,"BONNER",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Bowman",199,0,0,0,0,537.11301656396,"BOWMAN",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Brisbane",305,0,0,0,0,58.228803914026,"BRISBANE",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Capricornia",302,0,0,0,0,91048.925265768,"CAPRICORNIA",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Dawson",291,0,0,0,0,14945.358747786,"DAWSON",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Dickson",192,0,0,0,0,722.47567017579,"DICKSON",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Fadden",214,0,0,0,0,395.44319408586,"FADDEN",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Fairfax",232,0,0,0,0,1035.9493008089,"FAIRFAX",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Fisher",220,0,0,0,0,1169.8787815141,"FISHER",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Flynn",342,0,0,0,0,133063.42867009,"FLYNN",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"Forde",184,0,0,0,0,418.56634342987,"FORDE",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Griffith",279,0,0,0,0,59.768160819849,"GRIFFITH",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"Groom",251,0,0,0,0,5594.4026293911,"GROOM",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"Herbert",242,0,0,0,0,945.70393163547,"HERBERT",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"Hinkler",239,0,0,0,0,3503.9169723879,"HINKLER",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"Kennedy",410,0,0,0,0,568992.52203242,"KENNEDY",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"Leichhardt",332,0,0,0,0,148988.08138836,"LEICHHARDT",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Lilley",254,0,0,0,0,147.28546302464,"LILLEY",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"Longman",192,0,0,0,0,1239.3042666635,"LONGMAN",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"Maranoa",428,0,0,0,0,731297.27092133,"MARANOA",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"Mcpherson",237,0,0,0,0,229.73192808491,"MCPHERSON",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"Moncrieff",291,0,0,0,0,92.325688777877,"MONCRIEFF",NA,NA,NA,NA,NA,NA
