"","StateAb","DivisionID","DivisionNm","PollingPlaceID","PollingPlace","CandidateID","Surname","GivenNm","BallotPosition","Elected","HistoricElected","PartyAb","PartyNm","OrdinaryVotes","Swing"
"71","ACT",101,"Canberra",65742,"Parkes PPVC",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",0,-40.21
"72","ACT",101,"Canberra",65742,"Parkes PPVC",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",0,-59.79
"73","ACT",101,"Canberra",8784,"Pearce",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",1003,0.72
"74","ACT",101,"Canberra",8784,"Pearce",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1514,-0.72
"75","ACT",101,"Canberra",8785,"Red Hill",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",997,1.23
"76","ACT",101,"Canberra",8785,"Red Hill",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1240,-1.23
"77","ACT",101,"Canberra",8786,"Richardson",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",553,-1.22
"78","ACT",101,"Canberra",8786,"Richardson",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",836,1.22
"79","ACT",101,"Canberra",32712,"Special Hospital Team 1",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",102,-6.54
"80","ACT",101,"Canberra",32712,"Special Hospital Team 1",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",109,6.54
"81","ACT",101,"Canberra",58810,"Special Hospital Team 2",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",133,2.54
"82","ACT",101,"Canberra",58810,"Special Hospital Team 2",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",99,-2.54
"83","ACT",101,"Canberra",58811,"Special Hospital Team 3",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",100,2.4
"84","ACT",101,"Canberra",58811,"Special Hospital Team 3",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",74,-2.4
"85","ACT",101,"Canberra",46425,"Stirling",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",358,1.97
"86","ACT",101,"Canberra",46425,"Stirling",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",456,-1.97
"87","ACT",101,"Canberra",8788,"Tharwa",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",52,2.87
"88","ACT",101,"Canberra",8788,"Tharwa",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",51,-2.87
"89","ACT",101,"Canberra",11878,"Theodore",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",631,2.25
