"","DivisionID","DivisionNm","CandidateID","Surname","GivenNm","BallotPosition","Elected","HistoricElected","PartyAb","PartyNm","State","Total_Australian_Labor_Party_Votes_per_electorate","Average_Australian_Labor_Party_Percentage_in_electorate","Total_Liberal_National_Coalition_Votes_per_electorate","Average_Liberal_National_Coalition_Percentage_in_electorate","Total_2pp_votes_per_electorate"
"97",209,"Deakin",23590,"SUKKAR","Michael",4,"Y","N","LP","Liberal","VIC",32774,46.2141666666667,36437,51.7025,69211
"98",210,"Dunkley",23509,"BILLSON","Bruce",6,"Y","Y","LP","Liberal","VIC",31289,45.706511627907,37882,54.293488372093,69171
"99",211,"Flinders",23497,"HUNT","Greg",9,"Y","Y","LP","Liberal","VIC",28906,38.83390625,45712,61.16609375,74618
"100",212,"Gellibrand",23422,"WATTS","Tim",4,"Y","N","ALP","Australian Labor Party","VIC",46672,67.3734,22652,32.6266,69324
"101",213,"Gippsland",23758,"CHESTER","Darren",4,"Y","Y","NP","The Nationals","VIC",26381,31.7434042553191,51694,67.1927659574468,78075
"102",214,"Goldstein",23487,"ROBB","Andrew",5,"Y","Y","LP","Liberal","VIC",28011,41.3191836734694,42998,58.6808163265306,71009
"103",215,"Higgins",23480,"O'DWYER","Kelly",1,"Y","Y","LP","Liberal","VIC",26222,41.6179591836735,39129,56.3414285714286,65351
"104",216,"Holt",23325,"BYRNE","Anthony",5,"Y","Y","ALP","Australian Labor Party","VIC",42440,59.6625641025641,28391,40.3374358974359,70831
"105",217,"Hotham",24241,"O'NEIL","Clare",1,"Y","N","ALP","Australian Labor Party","VIC",39623,58.7408888888889,28354,41.2591111111111,67977
"106",218,"Indi",23288,"McGOWAN","Cathy",2,"Y","N","IND","Independent","VIC",30332,38.2665048543689,43334,59.7917475728155,73666
"107",219,"Isaacs",23335,"DREYFUS","Mark",6,"Y","Y","ALP","Australian Labor Party","VIC",34810,54.1724390243902,29520,45.8275609756098,64330
"108",220,"Jagajaga",23298,"MACKLIN","Jenny",3,"Y","Y","ALP","Australian Labor Party","VIC",39253,53.4904545454545,34736,44.2368181818182,73989
"109",221,"Kooyong",23485,"FRYDENBERG","Josh",2,"Y","Y","LP","Liberal","VIC",26624,37.9126666666667,40764,59.8653333333333,67388
"110",222,"Lalor",23358,"RYAN","Joanne",9,"Y","N","ALP","Australian Labor Party","VIC",48819,62.6502857142857,29354,37.3497142857143,78173
"111",223,"La Trobe",23468,"WOOD","Jason",2,"Y","N","LP","Liberal","VIC",31874,46.4174509803922,36540,51.6217647058824,68414
"112",224,"Mallee",23898,"BROAD","Andrew",10,"Y","N","NP","The Nationals","VIC",19352,22.6968181818182,55298,76.3941818181818,74650
"113",225,"Maribyrnong",23379,"SHORTEN","Bill",3,"Y","Y","ALP","Australian Labor Party","VIC",43176,62.8968292682927,26461,37.1031707317073,69637
"114",226,"McEwen",23312,"MITCHELL","Rob",8,"Y","Y","ALP","Australian Labor Party","VIC",39058,47.59875,38925,50.83875,77983
"115",227,"Mcmillan",23472,"BROADBENT","Russell",9,"Y","Y","LP","Liberal","VIC",29667,34.1161956521739,48481,64.7969565217391,78148
"116",228,"Melbourne",23378,"BANDT","Adam",5,"Y","Y","GRN","The Greens","VIC",45006,68.5097959183673,18369,27.4085714285714,63375
"117",229,"Menzies",23483,"ANDREWS","Kevin",1,"Y","Y","LP","Liberal","VIC",25547,36.8021276595745,45030,63.1978723404255,70577
"118",230,"Melbourne Ports",23314,"DANBY","Michael",2,"Y","Y","ALP","Australian Labor Party","VIC",32315,54.265,26125,43.23525,58440
"119",231,"Murray",23477,"STONE","Sharman",2,"Y","Y","LP","Liberal","VIC",22312,25.9819801980198,54783,74.0180198019802,77095
"120",232,"Scullin",23324,"GILES","Andrew",2,"Y","N","ALP","Australian Labor Party","VIC",47865,63.1336585365854,25609,34.4273170731707,73474
"121",233,"Wannon",23470,"TEHAN","Dan",6,"Y","Y","LP","Liberal","VIC",30057,34.9606666666667,44830,63.1345714285714,74887
"122",234,"Wills",23322,"THOMSON","Kelvin",8,"Y","Y","ALP","Australian Labor Party","VIC",50643,70.6266666666667,20247,27.29,70890
"123",235,"Brand",24035,"GRAY","Gary",3,"Y","Y","ALP","Australian Labor Party","WA",38733,53.08,33702,46.92,72435
"124",236,"Canning",23843,"RANDALL","Don",1,"Y","Y","LP","Liberal","WA",27387,38.2112962962963,43895,61.7887037037037,71282
"125",237,"Cowan",23846,"SIMPKINS","Luke",7,"Y","Y","LP","Liberal","WA",29196,43.0867567567568,38904,54.2105405405405,68100
"126",238,"Curtin",23840,"BISHOP","Julie",6,"Y","Y","LP","Liberal","WA",21611,32.9009090909091,45093,65.2809090909091,66704
"127",239,"Forrest",23887,"MARINO","Nola",3,"Y","Y","LP","Liberal","WA",27418,36.6509459459459,44672,57.9436486486486,72090
"128",240,"Fremantle",24025,"PARKE","Melissa",11,"Y","Y","ALP","Australian Labor Party","WA",39231,56.5611363636364,31343,43.4388636363636,70574
"129",242,"Moore",23842,"GOODENOUGH","Ian",7,"Y","N","LP","Liberal","WA",26063,39.1372972972973,42535,58.16,68598
"130",243,"O'Connor",23944,"WILSON","Rick",8,"Y","N","LP","Liberal","WA",22269,29.1475187969925,45704,69.3487218045113,67973
"131",244,"Pearce",23847,"PORTER","Christian",9,"Y","N","LP","Liberal","WA",29383,40.0928571428571,40580,58.4785714285714,69963
"132",245,"Perth",24023,"MacTIERNAN","Alannah",3,"Y","N","ALP","Australian Labor Party","WA",36441,53.2875510204082,29726,42.6308163265306,66167
"133",246,"Stirling",23848,"KEENAN","Michael",6,"Y","Y","LP","Liberal","WA",25959,39.6536363636364,38982,58.0736363636364,64941
"134",247,"Swan",23935,"IRONS","Steve",2,"Y","Y","LP","Liberal","WA",28150,37.4025862068966,35687,47.0801724137931,63837
"135",248,"Tangney",23853,"JENSEN","Dennis",2,"Y","Y","LP","Liberal","WA",24689,35.580243902439,45203,61.9807317073171,69892
"136",249,"Paterson",23186,"BALDWIN","Bob",7,"Y","Y","LP","Liberal","NSW",30412,40.3561038961039,44665,58.3451948051948,75077
"137",250,"Riverina",23253,"McCORMACK","Michael",4,"Y","Y","NP","The Nationals","NSW",22648,25.6308771929825,55849,73.4919298245614,78497
"138",251,"Watson",24632,"BURKE","Tony",5,"Y","Y","ALP","Australian Labor Party","NSW",37577,57.6758333333333,27696,42.324375,65273
"139",252,"Dickson",23834,"DUTTON","Peter",1,"Y","Y","LNP","Liberal National Party of Queensland","QLD",30145,45.6370588235294,38802,54.3629411764706,68947
"140",302,"Longman",23855,"ROY","Wyatt",1,"Y","Y","LNP","Liberal National Party of Queensland","QLD",29767,43.0485,39054,56.9515,68821
"141",304,"Blair",23727,"NEUMANN","Shayne Kenneth",2,"Y","Y","ALP","Australian Labor Party","QLD",36170,52.9020338983051,28882,45.4030508474576,65052
"142",305,"Hasluck",23991,"WYATT","Ken",1,"Y","Y","LP","Liberal","WA",31199,45.8295652173913,37339,51.9965217391304,68538
"143",306,"Lingiari",23522,"SNOWDON","Warren",8,"Y","Y","ALP","Australian Labor Party","NT",21404,52.2860563380282,20173,40.6716901408451,41577
"144",307,"Solomon",23502,"GRIGGS","Natasha",8,"Y","Y","CLP","Country Liberals (NT)","NT",23212,50.6551515151515,24027,49.3451515151515,47239
"145",309,"Gorton",23304,"O'CONNOR","Brendan",6,"Y","Y","ALP","Australian Labor Party","VIC",46901,66.6792682926829,23383,33.3207317073171,70284
"146",310,"Bonner",23903,"VASTA","Ross",1,"Y","Y","LNP","Liberal National Party of Queensland","QLD",31559,46.0502325581395,35901,51.6241860465116,67460
"147",311,"Flynn",23806,"O'DOWD","Ken",2,"Y","Y","LNP","Liberal National Party of Queensland","QLD",31099,36.7053982300885,37577,59.7547787610619,68676
"148",312,"Durack",23936,"PRICE","Melissa",3,"Y","N","LP","Liberal","WA",22167,30.9473983739837,40055,64.1745528455285,62222
"149",315,"McMahon",24583,"BOWEN","Chris",3,"Y","Y","ALP","Australian Labor Party","NSW",39160,55.2426190476191,30868,44.7573809523809,70028
"150",316,"Wright",23804,"BUCHHOLZ","Scott",8,"Y","Y","LNP","Liberal National Party of Queensland","QLD",23446,35.6571621621622,37665,62.9914864864865,61111
