id,ELECT_DIV,STATE,NUMCCDS,ACTUAL,PROJECTED,POPULATION,OVER_18,AREA_SQKM,SORTNAME,long_c,lat_c,x,y,radius
133,Melbourne Ports,VIC,316,0,0,100,0,40.1226,Melbourne Ports,144.972470335854,-37.8521936557051,144.876018991625,-38.007368260435,0.0950179894789588
134,Menzies,VIC,200,0,0,100,0,124.723,Menzies,145.195412124208,-37.7628436871412,145.406137079035,-37.5670185247438,0.0950179894789588
135,Murray,VIC,298,0,0,100,0,19500.27,Murray,144.780186338459,-36.3612625505809,144.780186338459,-36.3612625505809,0.06690128
136,Scullin,VIC,202,0,0,100,0,169.081,Scullin,145.081910597957,-37.6520917178126,145.093603442347,-37.3747254272766,0.0950179894789588
137,Wannon,VIC,320,0,0,100,0,32046.77,Wannon,142.477446446134,-37.7407693283381,142.477446446134,-37.7407693283381,0.06690128
138,Wills,VIC,276,0,0,100,0,56.8234,Wills,144.945039005916,-37.7299279917862,144.854484643841,-37.6196815668735,0.0950179894789588
139,Adelaide,SA,318,0,0,100,0,76.0074,Adelaide,138.602574941363,-34.9067537227176,138.602574941363,-34.9067537227176,0.0397019348627503
140,Barker,SA,343,0,0,100,0,63885.71,Barker,140.206171155725,-35.5336180102835,140.206171155725,-35.5336180102835,0.06690128
141,Boothby,SA,281,0,0,100,0,129.682,Boothby,138.59651338022,-35.0183885526567,138.59651338022,-35.0183885526567,0.0397019348627503
142,Grey,SA,429,0,0,100,0,904881.23,Grey,135.454147962599,-29.6025876523452,135.454147962599,-29.6025876523452,0.06690128
143,Hindmarsh,SA,322,0,0,100,0,77.5908,Hindmarsh,138.528591836926,-34.9358324363923,138.528591836926,-34.9358324363923,0.0397019348627503
144,Kingston,SA,229,0,0,100,0,170.572,Kingston,138.51453373968,-35.1552398704464,138.51453373968,-35.1552398704464,0.0397019348627503
145,Makin,SA,232,0,0,100,0,130.08,Makin,138.689800523545,-34.8001248491839,138.689800523545,-34.8001248491839,0.0397019348627503
146,Mayo,SA,276,0,0,100,0,9314.65,Mayo,138.748987020471,-35.2456483362187,138.748987020471,-35.2456483362187,0.0397019348627503
147,Port Adelaide,SA,299,0,0,100,0,180.645,Port Adelaide,138.556197258924,-34.8048604442158,138.556197258924,-34.8048604442158,0.0397019348627503
148,Sturt,SA,255,0,0,100,0,85.3432,Sturt,138.673300060476,-34.8951955477904,138.673300060476,-34.8951955477904,0.0397019348627503
149,Wakefield,SA,277,0,0,100,0,6407.12,Wakefield,138.624088042921,-34.2630116750526,138.624088042921,-34.2630116750526,0.06690128
