2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:51 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,7010,Clarence Park,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,11,0.38
SA,179,Adelaide,7010,Clarence Park,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,343,-5.97
SA,179,Adelaide,7010,Clarence Park,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,15,1.56
SA,179,Adelaide,7010,Clarence Park,23637,GARCIA,Carmen,4,N,N,LP,Liberal,481,4.67
SA,179,Adelaide,7010,Clarence Park,25001,LEE,Peter,5,N,N,FFP,Family First,21,0.67
SA,179,Adelaide,7010,Clarence Park,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,93,-0.17
SA,179,Adelaide,7010,Clarence Park,999,Informal,Informal,999,N,N,,Informal,43,-0.07
SA,179,Adelaide,6664,College Park,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,14,0.41
SA,179,Adelaide,6664,College Park,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,434,-0.69
SA,179,Adelaide,6664,College Park,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,18,1.4
SA,179,Adelaide,6664,College Park,23637,GARCIA,Carmen,4,N,N,LP,Liberal,692,5.45
SA,179,Adelaide,6664,College Park,25001,LEE,Peter,5,N,N,FFP,Family First,24,0.21
SA,179,Adelaide,6664,College Park,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,106,-5.35
SA,179,Adelaide,6664,College Park,999,Informal,Informal,999,N,N,,Informal,43,-0.53
SA,179,Adelaide,36447,Croydon (Adelaide),24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,7,0.73
SA,179,Adelaide,36447,Croydon (Adelaide),23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,210,-0.82
SA,179,Adelaide,36447,Croydon (Adelaide),24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,5,1.38
SA,179,Adelaide,36447,Croydon (Adelaide),23637,GARCIA,Carmen,4,N,N,LP,Liberal,88,-0.03
SA,179,Adelaide,36447,Croydon (Adelaide),25001,LEE,Peter,5,N,N,FFP,Family First,17,2.59
SA,179,Adelaide,36447,Croydon (Adelaide),24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,35,-2.34
SA,179,Adelaide,36447,Croydon (Adelaide),999,Informal,Informal,999,N,N,,Informal,14,-3.52
SA,179,Adelaide,6657,Croydon Park,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,22,-0.06
SA,179,Adelaide,6657,Croydon Park,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,884,-0.11
SA,179,Adelaide,6657,Croydon Park,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,49,3.49
SA,179,Adelaide,6657,Croydon Park,23637,GARCIA,Carmen,4,N,N,LP,Liberal,325,3.76
SA,179,Adelaide,6657,Croydon Park,25001,LEE,Peter,5,N,N,FFP,Family First,51,-0.65
SA,179,Adelaide,6657,Croydon Park,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,73,-5.06
SA,179,Adelaide,6657,Croydon Park,999,Informal,Informal,999,N,N,,Informal,91,-4.63
SA,179,Adelaide,30170,Divisional Office (PREPOLL),24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),23637,GARCIA,Carmen,4,N,N,LP,Liberal,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),25001,LEE,Peter,5,N,N,FFP,Family First,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,0,0
SA,179,Adelaide,30170,Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,0,0
SA,179,Adelaide,6887,Dulwich,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,6,0.3
SA,179,Adelaide,6887,Dulwich,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,387,-0.1
SA,179,Adelaide,6887,Dulwich,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,12,0.98
SA,179,Adelaide,6887,Dulwich,23637,GARCIA,Carmen,4,N,N,LP,Liberal,721,4.25
SA,179,Adelaide,6887,Dulwich,25001,LEE,Peter,5,N,N,FFP,Family First,6,0.02
SA,179,Adelaide,6887,Dulwich,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,91,-4.42
SA,179,Adelaide,6887,Dulwich,999,Informal,Informal,999,N,N,,Informal,42,0.66
SA,179,Adelaide,6659,Enfield,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,10,-0.88
SA,179,Adelaide,6659,Enfield,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,780,-2.91
SA,179,Adelaide,6659,Enfield,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,59,3.86
SA,179,Adelaide,6659,Enfield,23637,GARCIA,Carmen,4,N,N,LP,Liberal,524,5.69
SA,179,Adelaide,6659,Enfield,25001,LEE,Peter,5,N,N,FFP,Family First,56,0.8
SA,179,Adelaide,6659,Enfield,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,99,-5.02
SA,179,Adelaide,6659,Enfield,999,Informal,Informal,999,N,N,,Informal,74,-2.71
SA,179,Adelaide,6660,Enfield North,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,4,-0.8
SA,179,Adelaide,6660,Enfield North,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,367,-5.37
SA,179,Adelaide,6660,Enfield North,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,29,4.01
SA,179,Adelaide,6660,Enfield North,23637,GARCIA,Carmen,4,N,N,LP,Liberal,237,6.58
SA,179,Adelaide,6660,Enfield North,25001,LEE,Peter,5,N,N,FFP,Family First,21,-1.13
SA,179,Adelaide,6660,Enfield North,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,66,-1.55
SA,179,Adelaide,6660,Enfield North,999,Informal,Informal,999,N,N,,Informal,46,-0.93
SA,179,Adelaide,6868,Fullarton,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,2,-0.12
SA,179,Adelaide,6868,Fullarton,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,571,-1.57
SA,179,Adelaide,6868,Fullarton,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,23,1.47
SA,179,Adelaide,6868,Fullarton,23637,GARCIA,Carmen,4,N,N,LP,Liberal,808,3.88
SA,179,Adelaide,6868,Fullarton,25001,LEE,Peter,5,N,N,FFP,Family First,41,-0.01
SA,179,Adelaide,6868,Fullarton,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,116,-2.64
SA,179,Adelaide,6868,Fullarton,999,Informal,Informal,999,N,N,,Informal,52,0.47
SA,179,Adelaide,64715,Glynde ADELAIDE PPVC,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,6,-0.52
SA,179,Adelaide,64715,Glynde ADELAIDE PPVC,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,461,-9.74
