2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:49 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8303,Gladstone,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,89,9.87
TAS,192,Bass,8303,Gladstone,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,13,8.33
TAS,192,Bass,8303,Gladstone,24170,BERGMAN,Christine,4,N,N,FFP,Family First,4,2.56
TAS,192,Bass,8303,Gladstone,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,35,-14.18
TAS,192,Bass,8303,Gladstone,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,12,-6.39
TAS,192,Bass,8303,Gladstone,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,2,1.28
TAS,192,Bass,8303,Gladstone,999,Informal,Informal,999,N,N,,Informal,14,6.17
TAS,192,Bass,8605,Hadspen,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,14,1.3
TAS,192,Bass,8605,Hadspen,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,506,7.68
TAS,192,Bass,8605,Hadspen,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,83,7.7
TAS,192,Bass,8605,Hadspen,24170,BERGMAN,Christine,4,N,N,FFP,Family First,29,2.69
TAS,192,Bass,8605,Hadspen,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,405,-11.13
TAS,192,Bass,8605,Hadspen,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,38,-7.21
TAS,192,Bass,8605,Hadspen,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,3,0.28
TAS,192,Bass,8605,Hadspen,999,Informal,Informal,999,N,N,,Informal,39,-1.36
TAS,192,Bass,8304,Hillwood,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,5,1.29
TAS,192,Bass,8304,Hillwood,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,195,13.11
TAS,192,Bass,8304,Hillwood,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,21,5.41
TAS,192,Bass,8304,Hillwood,24170,BERGMAN,Christine,4,N,N,FFP,Family First,3,0.77
TAS,192,Bass,8304,Hillwood,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,126,-4.17
TAS,192,Bass,8304,Hillwood,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,35,-16.43
TAS,192,Bass,8304,Hillwood,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,3,0.77
TAS,192,Bass,8304,Hillwood,999,Informal,Informal,999,N,N,,Informal,13,0.76
TAS,192,Bass,8305,Inveresk,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,11,1.11
TAS,192,Bass,8305,Inveresk,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,316,0.55
TAS,192,Bass,8305,Inveresk,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,60,6.04
TAS,192,Bass,8305,Inveresk,24170,BERGMAN,Christine,4,N,N,FFP,Family First,17,1.71
TAS,192,Bass,8305,Inveresk,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,494,1.07
TAS,192,Bass,8305,Inveresk,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,86,-9.11
TAS,192,Bass,8305,Inveresk,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,10,1.01
TAS,192,Bass,8305,Inveresk,999,Informal,Informal,999,N,N,,Informal,73,0.61
TAS,192,Bass,8306,Invermay,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,20,1.36
TAS,192,Bass,8306,Invermay,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,584,7.9
TAS,192,Bass,8306,Invermay,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,95,6.45
TAS,192,Bass,8306,Invermay,24170,BERGMAN,Christine,4,N,N,FFP,Family First,36,2.44
TAS,192,Bass,8306,Invermay,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,617,-3.98
TAS,192,Bass,8306,Invermay,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,114,-13.32
TAS,192,Bass,8306,Invermay,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,7,0.48
TAS,192,Bass,8306,Invermay,999,Informal,Informal,999,N,N,,Informal,83,0.79
TAS,192,Bass,8308,Karoola,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,2,0.64
TAS,192,Bass,8308,Karoola,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,160,17.69
TAS,192,Bass,8308,Karoola,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,19,6.09
TAS,192,Bass,8308,Karoola,24170,BERGMAN,Christine,4,N,N,FFP,Family First,9,2.88
TAS,192,Bass,8308,Karoola,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,107,-13.42
TAS,192,Bass,8308,Karoola,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,15,-11.22
TAS,192,Bass,8308,Karoola,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,0,0
TAS,192,Bass,8308,Karoola,999,Informal,Informal,999,N,N,,Informal,13,-2.76
TAS,192,Bass,8309,Kings Meadows,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,27,1.44
TAS,192,Bass,8309,Kings Meadows,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,822,5.26
TAS,192,Bass,8309,Kings Meadows,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,142,7.55
TAS,192,Bass,8309,Kings Meadows,24170,BERGMAN,Christine,4,N,N,FFP,Family First,42,2.23
TAS,192,Bass,8309,Kings Meadows,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,750,-8.46
TAS,192,Bass,8309,Kings Meadows,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,88,-7.75
TAS,192,Bass,8309,Kings Meadows,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,9,0.48
TAS,192,Bass,8309,Kings Meadows,999,Informal,Informal,999,N,N,,Informal,114,0.35
TAS,192,Bass,8310,Lady Barron,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,3,2.52
TAS,192,Bass,8310,Lady Barron,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,65,6.96
TAS,192,Bass,8310,Lady Barron,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,10,8.4
TAS,192,Bass,8310,Lady Barron,24170,BERGMAN,Christine,4,N,N,FFP,Family First,3,2.52
TAS,192,Bass,8310,Lady Barron,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,31,-6.76
TAS,192,Bass,8310,Lady Barron,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,7,-13.65
TAS,192,Bass,8310,Lady Barron,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,0,0
TAS,192,Bass,8310,Lady Barron,999,Informal,Informal,999,N,N,,Informal,4,0.96
TAS,192,Bass,8311,Launceston,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,16,1.48
TAS,192,Bass,8311,Launceston,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,410,3.92
TAS,192,Bass,8311,Launceston,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,49,4.53
TAS,192,Bass,8311,Launceston,24170,BERGMAN,Christine,4,N,N,FFP,Family First,17,1.57
TAS,192,Bass,8311,Launceston,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,381,-1.53
TAS,192,Bass,8311,Launceston,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,197,-9.09
TAS,192,Bass,8311,Launceston,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,12,1.11
TAS,192,Bass,8311,Launceston,999,Informal,Informal,999,N,N,,Informal,45,-0.72
TAS,192,Bass,33906,Launceston BASS PPVC,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,58,1.09
TAS,192,Bass,33906,Launceston BASS PPVC,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,2999,14.32
