"long","lat","order","hole","piece","id","group"
138.96448,-33.993003,24,FALSE,"1","3","3.1"
138.958095,-33.965911,25,FALSE,"1","3","3.1"
138.915092,-33.955127,26,FALSE,"1","3","3.1"
138.908138,-33.898785,27,FALSE,"1","3","3.1"
138.927142,-33.878395,28,FALSE,"1","3","3.1"
138.898123,-33.854501,29,FALSE,"1","3","3.1"
138.721562,-33.83711,30,FALSE,"1","3","3.1"
138.733634,-33.771113,31,FALSE,"1","3","3.1"
138.697475,-33.658661,32,FALSE,"1","3","3.1"
138.544713,-33.659147,33,FALSE,"1","3","3.1"
138.549019,-33.793661,34,FALSE,"1","3","3.1"
138.531018,-33.796877,35,FALSE,"1","3","3.1"
138.570187,-33.950549,36,FALSE,"1","3","3.1"
138.594631,-33.94642,37,FALSE,"1","3","3.1"
138.57832,-34.03463,38,FALSE,"1","3","3.1"
138.410528,-34.03586,39,FALSE,"1","3","3.1"
138.393936,-33.956692,40,FALSE,"1","3","3.1"
138.290071,-33.933284,41,FALSE,"1","3","3.1"
138.258848,-33.951837,42,FALSE,"1","3","3.1"
138.273638,-33.991034,43,FALSE,"1","3","3.1"
138.14473,-33.99117,44,FALSE,"1","3","3.1"
138.144805,-34.092834,45,FALSE,"1","3","3.1"
138.118382,-34.092898,46,FALSE,"1","3","3.1"
138.12725,-34.131919,47,FALSE,"1","3","3.1"
138.077415,-34.133551,48,FALSE,"1","3","3.1"
138.044076,-34.173775,49,FALSE,"1","3","3.1"
138.001543,-34.257058,50,FALSE,"1","3","3.1"
138.021736,-34.28507,51,FALSE,"1","3","3.1"
138.007096,-34.349032,52,FALSE,"1","3","3.1"
137.917537,-34.428156,53,FALSE,"1","3","3.1"
137.887583,-34.507362,54,FALSE,"1","3","3.1"
137.875809,-34.597683,55,FALSE,"1","3","3.1"
137.907676,-34.615868,56,FALSE,"1","3","3.1"
137.87681,-34.66841,57,FALSE,"1","3","3.1"
137.865023,-34.777911,58,FALSE,"1","3","3.1"
137.800063,-34.877546,59,FALSE,"1","3","3.1"
137.805024,-34.912187,60,FALSE,"1","3","3.1"
137.757304,-34.99657,61,FALSE,"1","3","3.1"
137.76399,-35.040599,62,FALSE,"1","3","3.1"
137.72473,-35.053743,63,FALSE,"1","3","3.1"
137.759109,-35.114355,64,FALSE,"1","3","3.1"
137.697314,-35.141537,65,FALSE,"1","3","3.1"
137.677887,-35.167742,66,FALSE,"1","3","3.1"
137.637498,-35.168201,67,FALSE,"1","3","3.1"
137.554817,-35.117455,68,FALSE,"1","3","3.1"
137.42284,-35.098095,69,FALSE,"1","3","3.1"
137.352267,-35.13396,70,FALSE,"1","3","3.1"
137.334887,-35.167858,71,FALSE,"1","3","3.1"
137.237741,-35.164515,72,FALSE,"1","3","3.1"
137.173992,-35.237359,73,FALSE,"1","3","3.1"
137.111428,-35.242931,74,FALSE,"1","3","3.1"
137.076687,-35.226357,75,FALSE,"1","3","3.1"
137.001389,-35.223207,76,FALSE,"1","3","3.1"
136.944022,-35.282153,77,FALSE,"1","3","3.1"
136.882731,-35.300362,78,FALSE,"1","3","3.1"
136.822316,-35.244016,79,FALSE,"1","3","3.1"
136.846425,-35.228823,80,FALSE,"1","3","3.1"
136.84574,-35.190101,81,FALSE,"1","3","3.1"
136.888337,-35.185252,82,FALSE,"1","3","3.1"
136.89761,-35.156673,83,FALSE,"1","3","3.1"
136.941123,-35.129111,84,FALSE,"1","3","3.1"
136.961072,-35.082302,85,FALSE,"1","3","3.1"
136.930287,-35.02905,86,FALSE,"1","3","3.1"
136.968239,-35.000414,87,FALSE,"1","3","3.1"
136.976385,-34.94124,88,FALSE,"1","3","3.1"
137.012553,-34.92048,89,FALSE,"1","3","3.1"
137.013614,-34.892979,90,FALSE,"1","3","3.1"
137.093376,-34.919948,91,FALSE,"1","3","3.1"
137.276479,-34.8939,92,FALSE,"1","3","3.1"
137.309245,-34.927825,93,FALSE,"1","3","3.1"
137.346955,-34.9298,94,FALSE,"1","3","3.1"
137.374945,-34.953745,95,FALSE,"1","3","3.1"
137.450184,-34.908125,96,FALSE,"1","3","3.1"
137.459607,-34.80763,97,FALSE,"1","3","3.1"
137.50944,-34.617955,98,FALSE,"1","3","3.1"
137.473817,-34.511303,99,FALSE,"1","3","3.1"
137.483189,-34.439275,100,FALSE,"1","3","3.1"
137.463169,-34.426672,101,FALSE,"1","3","3.1"
137.427025,-34.472597,102,FALSE,"1","3","3.1"
137.415149,-34.459593,103,FALSE,"1","3","3.1"
137.446657,-34.398039,104,FALSE,"1","3","3.1"
137.47608,-34.392463,105,FALSE,"1","3","3.1"
137.500299,-34.312,106,FALSE,"1","3","3.1"
137.499904,-34.226504,107,FALSE,"1","3","3.1"
137.449856,-34.135518,108,FALSE,"1","3","3.1"
137.522273,-34.129251,109,FALSE,"1","3","3.1"
137.567535,-34.043536,110,FALSE,"1","3","3.1"
137.552323,-34.014424,111,FALSE,"1","3","3.1"
137.527125,-34.004388,112,FALSE,"1","3","3.1"
137.63064,-33.921822,113,FALSE,"1","3","3.1"
137.62546,-33.895162,114,FALSE,"1","3","3.1"
137.600358,-33.876794,115,FALSE,"1","3","3.1"
137.725471,-33.769922,116,FALSE,"1","3","3.1"
137.755145,-33.714222,117,FALSE,"1","3","3.1"
137.857277,-33.631321,118,FALSE,"1","3","3.1"
137.879023,-33.596782,119,FALSE,"1","3","3.1"
137.919659,-33.58733,120,FALSE,"1","3","3.1"
137.89323,-33.625613,121,FALSE,"1","3","3.1"
137.917547,-33.624978,122,FALSE,"1","3","3.1"
137.935352,-33.552675,123,FALSE,"1","3","3.1"
137.951782,-33.573302,124,FALSE,"1","3","3.1"
137.977463,-33.558834,125,FALSE,"1","3","3.1"
137.971121,-33.539426,126,FALSE,"1","3","3.1"
137.939426,-33.547918,127,FALSE,"1","3","3.1"
137.949068,-33.512444,128,FALSE,"1","3","3.1"
137.870496,-33.39654,129,FALSE,"1","3","3.1"
137.8755,-33.362386,130,FALSE,"1","3","3.1"
137.890944,-33.366841,131,FALSE,"1","3","3.1"
137.881243,-33.323158,132,FALSE,"1","3","3.1"
137.85183,-33.32618,133,FALSE,"1","3","3.1"
137.811132,-33.266254,134,FALSE,"1","3","3.1"
137.853601,-33.196834,135,FALSE,"1","3","3.1"
137.925484,-33.176496,136,FALSE,"1","3","3.1"
137.939986,-33.15815,137,FALSE,"1","3","3.1"
137.958306,-33.167765,138,FALSE,"1","3","3.1"
137.954364,-33.154713,139,FALSE,"1","3","3.1"
138.000807,-33.131649,140,FALSE,"1","3","3.1"
138.020388,-33.150612,141,FALSE,"1","3","3.1"
138.054408,-33.115096,142,FALSE,"1","3","3.1"
138.02463,-33.10578,143,FALSE,"1","3","3.1"
138.045942,-33.0867,144,FALSE,"1","3","3.1"
138.018784,-33.035621,145,FALSE,"1","3","3.1"
137.952082,-33.00601,146,FALSE,"1","3","3.1"
137.90089,-32.777649,147,FALSE,"1","3","3.1"
137.944458,-32.757655,148,FALSE,"1","3","3.1"
137.837571,-32.69581,149,FALSE,"1","3","3.1"
137.860025,-32.6894,150,FALSE,"1","3","3.1"
137.867648,-32.663933,151,FALSE,"1","3","3.1"
137.80239,-32.605822,152,FALSE,"1","3","3.1"
137.82182,-32.58058,153,FALSE,"1","3","3.1"
137.825333,-32.603699,154,FALSE,"1","3","3.1"
137.839055,-32.603632,155,FALSE,"1","3","3.1"
137.835148,-32.572905,156,FALSE,"1","3","3.1"
137.782773,-32.551199,157,FALSE,"1","3","3.1"
137.785277,-32.52852,158,FALSE,"1","3","3.1"
137.768971,-32.523867,159,FALSE,"1","3","3.1"
137.756831,-32.487502,160,FALSE,"1","3","3.1"
137.749653,-32.53156,161,FALSE,"1","3","3.1"
137.764853,-32.601929,162,FALSE,"1","3","3.1"
137.749915,-32.709201,163,FALSE,"1","3","3.1"
137.753152,-32.721238,164,FALSE,"1","3","3.1"
137.781324,-32.713734,165,FALSE,"1","3","3.1"
137.80956,-32.749488,166,FALSE,"1","3","3.1"
137.793206,-32.779971,167,FALSE,"1","3","3.1"
137.810557,-32.845255,168,FALSE,"1","3","3.1"
137.791768,-32.870953,169,FALSE,"1","3","3.1"
137.798263,-32.89354,170,FALSE,"1","3","3.1"
137.789289,-32.915205,171,FALSE,"1","3","3.1"
137.758283,-32.907355,172,FALSE,"1","3","3.1"
137.749516,-32.921517,173,FALSE,"1","3","3.1"
